filename,dose_Gy,particle_type,hr_post_exposure
P242_73665006707-C8_020_003_proj.tif,0.82,Fe,4
P242_73665006707-C8_022_010_proj.tif,0.82,Fe,4
P242_73665006707-G3_007_038_proj.tif,0.82,Fe,4
P242_73665006707-C6_006_002_proj.tif,0.82,Fe,4
P280_73668439105-E2_001_017_proj.tif,1.0,X-ray,4
P242_73665006707-A6_001_039_proj.tif,0.82,Fe,4
P280_73668439105-E5_010_036_proj.tif,1.0,X-ray,4
P242_73665006707-C7_001_026_proj.tif,0.82,Fe,4
P242_73665006707-C7_003_018_proj.tif,0.82,Fe,4
P280_73668439105-F5_002_056_proj.tif,1.0,X-ray,4
P242_73665006707-G4_002_030_proj.tif,0.82,Fe,4
P280_73668439105-E5_008_029_proj.tif,1.0,X-ray,4
P280_73668439105-C7_022_003_proj.tif,1.0,X-ray,4
P242_73665006707-C7_022_018_proj.tif,0.82,Fe,4
P242_73665006707-A8_009_001_proj.tif,0.82,Fe,4
P242_73665006707-E4_015_007_proj.tif,0.82,Fe,4
P280_73668439105-E1_005_031_proj.tif,1.0,X-ray,4
P280_73668439105-F5_009_014_proj.tif,1.0,X-ray,4
P242_73665006707-C8_005_007_proj.tif,0.82,Fe,4
P242_73665006707-C6_013_004_proj.tif,0.82,Fe,4
P280_73668439105-F5_004_043_proj.tif,1.0,X-ray,4
P242_73665006707-G3_014_006_proj.tif,0.82,Fe,4
P280_73668439105-E2_028_001_proj.tif,1.0,X-ray,4
P280_73668439105-E5_005_010_proj.tif,1.0,X-ray,4
P242_73665006707-C8_020_016_proj.tif,0.82,Fe,4
P242_73665006707-A8_010_011_proj.tif,0.82,Fe,4
P242_73665006707-C8_009_011_proj.tif,0.82,Fe,4
P242_73665006707-E4_020_018_proj.tif,0.82,Fe,4
P242_73665006707-A8_031_008_proj.tif,0.82,Fe,4
P280_73668439105-E2_014_006_proj.tif,1.0,X-ray,4
P280_73668439105-A7_003_006_proj.tif,1.0,X-ray,4
P242_73665006707-A6_007_012_proj.tif,0.82,Fe,4
P242_73665006707-G4_003_017_proj.tif,0.82,Fe,4
P280_73668439105-C7_019_006_proj.tif,1.0,X-ray,4
P280_73668439105-C7_009_025_proj.tif,1.0,X-ray,4
P280_73668439105-D5_003_044_proj.tif,1.0,X-ray,4
P242_73665006707-E4_021_016_proj.tif,0.82,Fe,4
P242_73665006707-G4_017_009_proj.tif,0.82,Fe,4
P280_73668439105-E6_007_009_proj.tif,1.0,X-ray,4
P280_73668439105-C7_001_012_proj.tif,1.0,X-ray,4
P280_73668439105-F5_001_054_proj.tif,1.0,X-ray,4
P280_73668439105-E6_001_019_proj.tif,1.0,X-ray,4
P242_73665006707-C7_030_015_proj.tif,0.82,Fe,4
